uf,uf_codigo,ano,populacao,fonte,metodo
BA,29,2026,15207525,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2015,20648978,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2016,20780264,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2017,20908628,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2018,21040662,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2019,21168791,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2020,21292666,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2021,21411923,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2022,21526076,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2023,21634690,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2024,21737475,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2025,21834171,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
MG,31,2026,21924590,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2015,3832826,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2016,3879376,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2017,3925341,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2018,3972388,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2019,4018650,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2020,4064052,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2021,4108508,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2022,4151923,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2023,4194227,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2024,4235381,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2025,4275342,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
ES,32,2026,4314082,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2015,16841138,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2016,16947738,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2017,17051465,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2018,17159960,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2019,17264943,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2020,17366189,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2021,17463349,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2022,17556065,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2023,17644073,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2024,17727277,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2025,17805632,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RJ,33,2026,17879062,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2015,44356304,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2016,44760305,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2017,45149603,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2018,45538936,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2019,45919049,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2020,46289333,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2021,46649132,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2022,46997428,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2023,47333288,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2024,47656295,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2025,47966292,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SP,35,2026,48263115,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PR,41,2015,11089062,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PR,41,2016,11176203,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PR,41,2017,11261927,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PR,41,2018,11348937,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PR,41,2019,11433957,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PR,41,2020,11516840,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PR,41,2021,11597484,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
